"Task_ID","Task_Name","Assignee","Status","Start_Date","Due_Date","Esfuerzo_Aproximado","Time_Estimate","Time_Logged","Año","Q ","Mes","Lists"
"86ayu7ehe","ENBOCA2: QA - Ejecución de Pruebas C3","1","COMPLETADO","45321","","1.33","8h","8","2023","1-24","1","Plan / Proyecto Migración a Blog WP - Enboca2"
"86ayu7dpw","ENBOCA2: QA - Ejecución de Pruebas C2","1","COMPLETADO","45309","","1.26","8h","6.5","2023","1-24","1","Plan / Proyecto Migración a Blog WP - Enboca2"
"86ayrtep7","PWA - Aqustico - Implementación de vista Buscador - Frontend","1","COMPLETADO","45274","45274","1.14","4h","4","2023","4-23","12","Plan Proyecto PWA - Aqustico"
"86ayrtfjw","PWA - Aqustico - Implementación de flujo de cancelación de suscripción - Frontend","1","COMPLETADO","45273","45307","1.14","4h","4","2023","4-23","12","Plan Proyecto PWA - Aqustico"
"86ayjcd29","BB-F2: QA Certificación","1","COMPLETADO","45272","45273","1","1h","1","2023","4-23","11","FASE 2: Website de Brainbox"
"86ayrtdvu","PWA - Aqustico -  Implementación de vista - acceso por suscripción - Frontend","1","COMPLETADO","45272","45272","1.14","4h","4","2023","4-23","12","Plan Proyecto PWA - Aqustico"
"86ayu7d2g","ENBOCA2: QA - Ejecución de pruebas C1","1","COMPLETADO","45268","45271","1.62","14h","14","2023","4-23","12","Plan / Proyecto Migración a Blog WP - Enboca2"
"86ayvc5de","M-SOS: Post Certificación - Pruebas de QA C2 - Ajustes al landing","1","COMPLETADO","45268","45268","1.19","8h","5","2023","4-23","12","Plan Proyecto / Mandarina SOS"
"86ayrteg8","PWA - Aqustico - Implementación de reproductor  general (vistas donde aplica) - Frontend","1","COMPLETADO","45267","45267","1.14","4h","4","2023","4-23","12","Plan Proyecto PWA - Aqustico"
"86ayjcd25","BB-F2: QA Ejecución de pruebas C2","1","COMPLETADO","45266","45267","1","1h","1","2023","4-23","11","FASE 2: Website de Brainbox"
"86ayrterz","PWA - Aqustico - Implementación de reproductor sencillo - Frontend","1","COMPLETADO","45266","45266","1.14","4h","4","2023","4-23","12","Plan Proyecto PWA - Aqustico"
"86ayu712e","ENBOCA2: QA - Análisis y diseño de casos de pruebas","1","COMPLETADO","45265","45266","1.33","8h","8","2023","4-23","11","Plan / Proyecto Migración a Blog WP - Enboca2"
"86ayhe395","M-SOS: Despliegue a QA - Pixel chatbot","1","COMPLETADO","45265","45265","0.97","1h","0.42","2023","4-23","11","Plan Proyecto / Mandarina SOS"
"86ayhe920","M-SOS: Ejecución de pruebas C1 - Chatbot","1","COMPLETADO","45264","45268","1.74","","16.5","2023","4-23","11","Plan Proyecto / Mandarina SOS"
"86ayhdwcr","M-SOS: Inclusión de pixel - chatbot en el landing page","1","COMPLETADO","45264","45265","1.05","3h","2","2023","4-23","11","Plan Proyecto / Mandarina SOS"
"86aytudpf","M-SOS: Post Certificación - Pruebas de QA C1- Ajustes al landing","1","COMPLETADO","45264","45264","1.24","6h","6","2023","4-23","11","Plan Proyecto / Mandarina SOS"
"86ayrtdzu","PWA - Aqustico - Implementación del home - Frontend","1","COMPLETADO","45261","45265","1.43","10h","10","2023","4-23","12","Plan Proyecto PWA - Aqustico"
"86ayjcd1u","BB-F2: QA Ejecución de pruebas C1","1","COMPLETADO","45259","45261","1.43","10h","10","2023","4-23","11","FASE 2: Website de Brainbox"
"86ayjcd1c","BB-F2: QA Análisis y diseño de casos de prueba","1","COMPLETADO","45259","45260","1.33","8h","8","2023","4-23","11","FASE 2: Website de Brainbox"
"86aytud5r","M-SOS: Post Certificación - Ajustes en el landing - (Web y Móvil)","1","COMPLETADO","45258","45260","1.14","4h","4","2023","4-23","11","Plan Proyecto / Mandarina SOS"
"86ayqq4fp","ESMS-SP18: DEV Despliegue l Visualización de tickets (S.A) H.U 55","1","COMPLETADO","45250","45257","1","1h","1","2023","3-23","11","6 Sprint 18: 15/Nov al 29/Nov"
"86aymgfd3","Preparación de data para certificación - Eres Trendy","1","COMPLETADO","45250","45250","1.05","2h","2","2023","4-23","11","Plan Proyecto / Migración a WP EresTrendy"
"86ayhdy3m","M-SOS: Certificación con PO - Landing Page","1","COMPLETADO","45247","45247","0.98","1h","0.5","2023","4-23","11","Plan Proyecto / Mandarina SOS"
"86aymfz8z","Certificación con PO - landing tuakademia","1","COMPLETADO","45247","45247","0.98","2h","0.5","2023","4-23","11","Plan / Proyecto  Landing Academy - Tuakademia"
"86ayqq2dp","ESMS-SP18: DEV Implementación l  H.U 55 Visualización de tickets (S.A)","1","COMPLETADO","45246","45254","1.52","12h","12","2023","3-23","11","6 Sprint 18: 15/Nov al 29/Nov"
"86ayqq1f4","ESMS-SP18: DEV Despliegue l H.U 31 Cancelar campaña","1","COMPLETADO","45246","45250","1.01","","1.25","2023","3-23","11","6 Sprint 18: 15/Nov al 29/Nov"
"86ayhdy2r","M-SOS: Preparación de data para certificación - Landing Page","1","COMPLETADO","45245","45245","1","1h","1","2023","4-23","11","Plan Proyecto / Mandarina SOS"
"86aymfz0p","Preparación de data para certificación - Landing tuakademia","1","COMPLETADO","45245","45245","1.14","2h","4","2023","4-23","11","Plan / Proyecto  Landing Academy - Tuakademia"
"86aynacrc","ESMS-SP17: Corrección de casos de prueba C1 l  H.U 45","1","COMPLETADO","45245","45245","1.1","","3","2023","3-23","11","5 Sprint 17: 1/Nov al 15/Nov"
"86ayqbude","ESMS-SP17: Despliegue correción de C1 l  H.U 45","1","COMPLETADO","45245","45245","1.02","","1.5","2023","3-23","11","5 Sprint 17: 1/Nov al 15/Nov"
"86ayhe7xp","M-SOS: Análisis y diseño de casos de pruebas - Chatbot","1","COMPLETADO","45244","45264","1.48","9h","11","2023","4-23","11","Plan Proyecto / Mandarina SOS"
"86ayjcd0w","BB-F2: Elaboración de Mockups","1","COMPLETADO","45244","45252","1.07","2h 30m","2.5","2023","4-23","11","FASE 2: Website de Brainbox"
"86aypmed1","M-SOS: Revisión de Landing Page Mandarina SOS","1","COMPLETADO","45243","45243","1.13","3h","3.67","2023","4-23","11","Plan Proyecto / Mandarina SOS"
"86ayn8d9p","ESMS-SP17: DEV Implementación l Cancelar campaña H.U 31","1","COMPLETADO","45240","45245","1.38","8h","9","2023","3-23","11","5 Sprint 17: 1/Nov al 15/Nov"
"86aymgf4w","Ejecución de pruebas C1 - Eres Trendy","1","COMPLETADO","45239","45243","1.6","16h","13.5","2023","4-23","11","Plan Proyecto / Migración a WP EresTrendy"
"86aymfyj1","Ejecución de pruebas - C1 - Landing tuakademia","1","COMPLETADO","45238","45239","1.14","16h","4","2023","4-23","11","Plan / Proyecto  Landing Academy - Tuakademia"
"86ayncehm","Ajustes - landing (V2)","1","COMPLETADO","45238","45238","1.1","3h","3","2023","4-23","11","Plan Proyecto / Herramienta de Venta CNTM"
"86aymfye2","Análisis y diseño de caso de pruebas - Landing tuakademia","1","COMPLETADO","45238","45238","1.14","8h","4","2023","4-23","11","Plan / Proyecto  Landing Academy - Tuakademia"
"86aymfy2b","Despliegue a QA - landing tuakademia","1","COMPLETADO","45237","45237","0.98","30m","0.5","2023","4-23","11","Plan / Proyecto  Landing Academy - Tuakademia"
"86aymgetu","Implementación de plugin CNTM y pruebas ","1","COMPLETADO","45236","45238","1.02","10h","1.5","2023","4-23","11","Plan Proyecto / Migración a WP EresTrendy"
"86aymgf14","Análisis y diseño de casos de pruebas - Eres Trendy","1","COMPLETADO","45236","45237","1.33","8h","8","2023","4-23","11","Plan Proyecto / Migración a WP EresTrendy"
"86ayncdwz","Maquetación - ppt de cada producto","1","COMPLETADO","45233","45237","1.62","14h","14","2023","4-23","11","Plan Proyecto / Herramienta de Venta CNTM"
"86aymfxd8","Actualización de textos - Landing tuakademia","1","COMPLETADO","45233","45237","1.02","1h 30m","1.33","2023","4-23","11","Plan / Proyecto  Landing Academy - Tuakademia"
"86aymfxt9","Actualización de imagen - landing tuakademia","1","COMPLETADO","45233","45237","1.04","1h","1.83","2023","4-23","11","Plan / Proyecto  Landing Academy - Tuakademia"
"86ayhdwue","M-SOS: Ejecución de pruebas C3 - Landing Page","1","COMPLETADO","45232","45232","1.05","2h","2","2023","4-23","11","Plan Proyecto / Mandarina SOS"
"86aymfx4e","Inclusión de logo y actualización de paleta de colores","1","COMPLETADO","45232","45232","1","1h","1","2023","4-23","11","Plan / Proyecto  Landing Academy - Tuakademia"
"86aymgcww","Adaptación de plantilla en WP - Eres Trendy - HOME","1","COMPLETADO","45231","45233","1","10h","1","2023","4-23","11","Plan Proyecto / Migración a WP EresTrendy"
"86aymge0d","Adaptación de plantilla en WP - Eres Trendy - Single Post","1","COMPLETADO","45231","45233","1.1","10h","3","2023","4-23","11","Plan Proyecto / Migración a WP EresTrendy"
"86ayn8dav","ESMS-SP17: DEV Despliegue de correcciones C1l  H.U 53 y  H.U 50","1","COMPLETADO","45231","45233","1.07","","2.5","2023","3-23","11","5 Sprint 17: 1/Nov al 15/Nov"
"86ayhdwtp","M-SOS: Ejecución de pruebas C2 - Landing Page","1","COMPLETADO","45230","45230","1.1","3h","3","2023","4-23","11","Plan Proyecto / Mandarina SOS"
"86ayhdwrt","M-SOS: Ejecución de pruebas C1 - Landing Page","1","COMPLETADO","45225","45226","1.24","6h","6","2023","4-23","10","Plan Proyecto / Mandarina SOS"
"86ayhdv8q","M-SOS: Pruebas unitarias - Landing + Validación de suscripción","1","COMPLETADO","45224","45226","1.19","5h","5","2023","4-23","10","Plan Proyecto / Mandarina SOS"
"86ayhdv3c","M-SOS: Implementación de lógica de validación de suscripción","1","COMPLETADO","45223","45225","1.05","2h","2","2023","4-23","10","Plan Proyecto / Mandarina SOS"
"86ayncdhq","Maquetación de landing","1","COMPLETADO","45222","45222","1.14","4h","4","2023","4-23","10","Plan Proyecto / Herramienta de Venta CNTM"
"86ayhdwmn","M-SOS: Análisis  y diseño de casos de pruebas - Landing Page","1","COMPLETADO","45218","45219","1.35","8h","8.33","2023","4-23","10","Plan Proyecto / Mandarina SOS"
"86aymfuq5","Maquetación de front-end - Landing tuakademia","1","COMPLETADO","45218","45218","1.29","7h","7","2023","4-23","11","Plan / Proyecto  Landing Academy - Tuakademia"
"86ayncd61","Implementación de las animaciones","1","COMPLETADO","45215","45218","1.62","14h","14","2023","4-23","10","Plan Proyecto / Herramienta de Venta CNTM"
"86ayew8ft","E-SMS-SP15: DEV Despliegue l Consulta sin datos a mostrar H.U 51","1","COMPLETADO","45208","45208","1","","1","2023","4-23","10","3 Sprint 15: 4/10 al 17/10"
"86ayeuvrv","Conector-Banplus Digitel Postpago","1","COMPLETADO","45204","45230","0.98","","0.67","2023","4-23","10","Conector"
"86aygxfgu","BB-F2: UX/UI Elaboracion de Mockups Área de Miembros","1","COMPLETADO","45204","45225","1.45","10h","10.5","2023","4-23","11","FASE 2: Website de Brainbox"
"86ayew8hx","ESMS-SP15: DEV Implementación l Encriptado H.U 50 F.E","1","COMPLETADO","45203","45216","1.71","","16","2023","4-23","10","3 Sprint 15: 4/10 al 17/10"
"86aybqrnq","E-SMS-SP15: Dev Implementación l Consulta sin datos a mostrar H.U 51","1","COMPLETADO","45203","45203","1.02","","1.5","2023","4-23","10","3 Sprint 15: 4/10 al 17/10"
"86aydwrjm","E-SMS-SP15: Dev Implementación l SHC contenidos","1","COMPLETADO","45201","45201","1.12","","3.5","2023","4-23","10","3 Sprint 15: 4/10 al 17/10"
"86aybpdfg","ESMS-SP14: DEV Despliegue de correcciones C1 H.U 49","1","COMPLETADO","45190","45190","1.05","","2","2023","3-23","9","2 Sprint 14: 20/09 al 3/10"
"86ay70u13","ESMS-SP13: QA Ejecución de prueba C1 H.U 49","1","HACIENDO","45187","","1.62","","14","2023","3-23","9","1 Sprint 13: 05/09 al 18/09"
"86ay9uzwv","ESMS-SP13: Carga de data H.U 49","1","COMPLETADO","45183","45184","1.1","","3.17","2023","3-23","9","1 Sprint 13: 05/09 al 18/09"
"86ay9v112","ESMS-SP13: Adición de herramienta de prueba","1","COMPLETADO","45183","45183","1.02","","1.5","2023","3-23","9","1 Sprint 13: 05/09 al 18/09"
"86ay7xczg","ESMS-SP13: DEV Implementación l Encriptado H.U B.E","1","COMPLETADO","45182","","1.83","","18.5","2023","3-23","9","1 Sprint 13: 05/09 al 18/09"
"86ay70u8g","ESMS-SP13: QA Análisis y creación de casos de prueba H.U 49","1","COMPLETADO","45180","45184","1.81","","18","2023","3-23","9","1 Sprint 13: 05/09 al 18/09"
"86ay6zrek","ESMS-SP13: QA Certificación con P.O (H.U´s 41.2/43/44)","1","COMPLETADO","45180","45180","1","","1","2023","3-23","9","1 Sprint 13: 05/09 al 18/09"
"86ay6zwbt","ESMS-SP13: DEV Despliegue H.U 49","1","COMPLETADO","45180","45180","1.11","","3.33","2023","3-23","9","1 Sprint 13: 05/09 al 18/09"
"86ay6zwmz","ESMS-SP13: DEV Notificación de despliegue H.U 49","1","COMPLETADO","45180","45180","0.97","","0.33","2023","3-23","9","1 Sprint 13: 05/09 al 18/09"
"86ay6zrca","ESMS-SP13: QA Preparación de data para certificación (H.U´s 41.2/43/44)","1","COMPLETADO","45175","45175","1","","1","2023","3-23","9","1 Sprint 13: 05/09 al 18/09"
"86ay6c1xw","ESMS-SP12: Ejecución de revisión: Adición de ""coding"" a envío de mensajería/ Inicio de la revision 1","1","COMPLETADO","45173","45173","1","","1","2023","3-23","9","Sprint 12: 22/08 al 04/09"
"865cz8h5w","ESMS-SP12: QA H.U 44 Ejecución de pruebas C2","1","COMPLETADO","45168","45169","1.24","","6","2023","3-23","8","Sprint 12: 22/08 al 04/09"
"865czzj67","ESMS-SP12: QA H.U 44 Ejecución de pruebas C1","1","COMPLETADO","45167","45167","1.19","","5","2023","3-23","8","Sprint 12: 22/08 al 04/09"
"865cz8h0z","ESMS-SP12: QA H.U 41.2 Ejecución de pruebas C1","1","COMPLETADO","45166","45167","1.14","","4","2023","3-23","8","Sprint 12: 22/08 al 04/09"
"865czzj6p","ESMS-SP12: QA H.U 43 Ejecución de pruebas C1","1","COMPLETADO","45166","45167","1.19","","5","2023","3-23","8","Sprint 12: 22/08 al 04/09"
"865cz8ekb","ESMS-SP12: HU 49 Implementación B.E","1","COMPLETADO","45160","45169","1.32","8h","7.67","2023","3-23","8","Sprint 12: 22/08 al 04/09"
"865cz8eqa","ESMS-SP12: HU 49 Implementación F.E","1","COMPLETADO","45160","45168","1.48","","11","2023","3-23","8","Sprint 12: 22/08 al 04/09"
"865cxzp9r","BB-F1: QA Revisión del blog","1","COMPLETADO","45156","45159","1.07","","2.5","2023","3-23","4","FASE 1: Website de Brainbox"
"865cwxk1f","ESMS-SP11: H.U 41.2/43/44 QA Análisis y diseño de casos de prueba","1","COMPLETADO","45154","","1.83","","18.33","2023","3-23","8","Sprint 11: 8/08 al 21/08"
"865cxkwup","ESMS-SP11: H.U 41 Observaciones Certificación  con P.O","1","COMPLETADO","45153","45153","1","","1","2023","3-23","8","Sprint 11: 8/08 al 21/08"
"865cwxk0p","ESMS-SP11: HU43/44 Despliegue en ambiente de QA","1","COMPLETADO","45152","45153","1","","1","2023","3-23","8","Sprint 11: 8/08 al 21/08"
